Time,ff4_hf_orig,ff4_hf_disc_w_rhod=1,sp500_hf_orig,sp500_hf_disc_w_rhod=1
01-Jan-2015,0,0,-0.19384,-0.19384
01-Feb-2015,0,0,0,0
01-Mar-2015,-0.02,-0.02,1.49382,1.49382
01-Apr-2015,0,0,0.09926,0.09926
01-May-2015,0,0,0,0
01-Jun-2015,-0.02,-0.02,0.35392,0.35392
01-Jul-2015,0,0,0.16123,0.16123
01-Aug-2015,0,0,0,0
01-Sep-2015,-0.06499,-0.06499,0.15194,0.15194
01-Oct-2015,0.035,0.035,-0.70941,-0.70941
01-Nov-2015,0,0,0,0
01-Dec-2015,0.02,0.02,0.09938,0.09938
01-Jan-2016,-0.005,-0.005,-0.3674,-0.3674
01-Feb-2016,0,0,0,0
01-Mar-2016,-0.055,-0.055,0.24853,0.24853
01-Apr-2016,-0.005,-0.005,0.23738,0.23738
01-May-2016,0,0,0,0
01-Jun-2016,-0.02,-0.02,-0.0389,-0.0389
01-Jul-2016,-0.005,-0.005,0.17277,0.17277
01-Aug-2016,0,0,0,0
01-Sep-2016,-0.005,-0.005,0.28085,0.28085
01-Oct-2016,0,0,0,0
01-Nov-2016,0,0,0.08383,0.08383
01-Dec-2016,0.01,0.01,-0.15587,-0.15587
